model,horizon,embargo_steps,split,rmse,mae,n_train,n_test
Ridge,30,17,chronological_no_embargo,16.146591044048584,11.084908485412598,262611,46356
Ridge,30,17,chronological_with_embargo,16.147166548618618,11.085894584655762,262186,46356
RandomForest,30,17,chronological_no_embargo,15.574710824077586,10.540436943255836,262611,46356
RandomForest,30,17,chronological_with_embargo,15.575319686032639,10.544340127433784,262186,46356
Ridge,60,23,chronological_no_embargo,29.038921677086577,20.917095184326172,262483,46334
Ridge,60,23,chronological_with_embargo,29.039479710145248,20.917516708374023,261908,46334
RandomForest,60,23,chronological_no_embargo,28.570312077538187,20.42024175648462,262483,46334
RandomForest,60,23,chronological_with_embargo,28.56829336208676,20.41843366684411,261908,46334
Ridge,120,35,chronological_no_embargo,43.12012540385,32.82369613647461,262225,46292
Ridge,120,35,chronological_with_embargo,43.12081473124015,32.82316207885742,261350,46292
RandomForest,120,35,chronological_no_embargo,43.48175349798536,32.748609396881626,262225,46292
RandomForest,120,35,chronological_with_embargo,43.518610709349616,32.779267655062135,261350,46292
